,Gene,Destination
0,BBF10K_000259,A1
1,BBF10K_000222,B1
2,BBF10K_000135,C1
3,BBF10K_000206,D1
4,BBF10K_000144,E1
5,BBF10K_000091,F1
6,BBF10K_000158,G1
7,BBF10K_000352,H1
8,BBF10K_000270,A2
10,BBF10K_000102,B2
12,BBF10K_000090,C2
13,BBF10K_000123,D2
14,BBF10K_000157,E2
15,BBF10K_000155,F2
16,BBF10K_000011,G2
17,BBF10K_000031,H2
18,BBF10K_000250,A3
20,BBF10K_000046,B3
21,BBF10K_000377,C3
22,BBF10K_000342,D3
24,BBF10K_000320,E3
26,BBF10K_000298,F3
27,BBF10K_000203,G3
28,BBF10K_000066,H3
29,BBF10K_000210,A4
30,BBF10K_000333,B4
31,BBF10K_000338,C4
33,BBF10K_000032,D4
34,BBF10K_000148,E4
35,BBF10K_000110,F4
36,BBF10K_000167,G4
37,BBF10K_000049,H4
38,BBF10K_000053,A5
39,BBF10K_000303,B5
40,BBF10K_000287,C5
41,BBF10K_000300,D5
42,BBF10K_000039,E5
44,BBF10K_000348,F5
45,BBF10K_000346,G5
46,BBF10K_000230,H5
47,BBF10K_000045,A6
48,BBF10K_000243,B6
49,BBF10K_000191,C6
50,BBF10K_000001,D6
51,BBF10K_000029,E6
52,BBF10K_000013,F6
53,BBF10K_000020,G6
54,BBF10K_000062,H6
55,BBF10K_000286,A7
56,BBF10K_000050,B7
57,BBF10K_000364,C7
58,BBF10K_000269,D7
59,BBF10K_000358,E7
60,BBF10K_000246,F7
62,BBF10K_000285,G7
63,BBF10K_000119,H7
64,BBF10K_000312,A8
65,BBF10K_000127,B8
66,BBF10K_000069,C8
68,BBF10K_000392,D8
69,BBF10K_000014,E8
70,BBF10K_000227,F8
72,BBF10K_000372,G8
73,BBF10K_000247,H8
74,BBF10K_000183,A9
75,BBF10K_000083,B9
76,BBF10K_000004,C9
77,BBF10K_000330,D9
78,BBF10K_000235,E9
79,BBF10K_000373,F9
80,BBF10K_000295,G9
81,BBF10K_000390,H9
82,BBF10K_000176,A10
83,BBF10K_000225,B10
84,BBF10K_000314,C10
85,BBF10K_000375,D10
86,BBF10K_000097,E10
87,BBF10K_000326,F10
88,BBF10K_000353,G10
89,BBF10K_000282,H10
90,BBF10K_000052,A11
91,BBF10K_000124,B11
92,BBF10K_000315,C11
93,BBF10K_000192,D11
94,BBF10K_000242,E11
95,BBF10K_000350,F11
96,BBF10K_000370,G11
98,BBF10K_000360,H11
99,BBF10K_000288,A12
100,BBF10K_000380,B12
101,BBF10K_000036,C12
102,BBF10K_000136,D12
103,BBF10K_000327,E12
104,BBF10K_000212,F12
105,BBF10K_000068,G12
106,BBF10K_000387,H12
