Gene,Destination
BBF10K_003070,A1
BBF10K_001299,B1
BBF10K_001742,C1
BBF10K_001789,D1
BBF10K_001818,E1
BBF10K_001922,F1
BBF10K_002600,G1
BBF10K_002603,H1
BBF10K_001297,A2
BBF10K_001317,B2
BBF10K_001344,C2
BBF10K_001386,D2
BBF10K_001406,E2
BBF10K_001416,F2
BBF10K_001443,G2
BBF10K_001449,H2
BBF10K_001463,A3
BBF10K_003041,B3
BBF10K_001516,C3
BBF10K_001537,D3
BBF10K_001572,E3
BBF10K_001606,F3
BBF10K_001608,G3
BBF10K_001610,H3
BBF10K_001616,A4
BBF10K_001626,B4
BBF10K_001627,C4
BBF10K_002990,D4
BBF10K_002993,E4
BBF10K_001757,F4
BBF10K_001796,G4
BBF10K_001864,H4
BBF10K_001872,A5
BBF10K_001889,B5
BBF10K_001921,C5
BBF10K_001923,D5
BBF10K_001939,E5
BBF10K_001962,F5
BBF10K_001983,G5
BBF10K_001987,H5
BBF10K_001996,A6
BBF10K_002004,B6
BBF10K_002029,C6
BBF10K_002038,D6
BBF10K_002062,E6
BBF10K_002080,F6
BBF10K_002097,G6
BBF10K_002105,H6
BBF10K_002110,A7
BBF10K_002132,B7
BBF10K_002140,C7
BBF10K_002148,D7
BBF10K_002156,E7
BBF10K_002247,F7
BBF10K_002270,G7
BBF10K_002290,H7
BBF10K_002296,A8
BBF10K_002305,B8
BBF10K_002338,C8
BBF10K_002339,D8
BBF10K_002347,E8
BBF10K_002362,F8
BBF10K_002389,G8
BBF10K_002404,H8
BBF10K_002426,A9
BBF10K_002438,B9
BBF10K_002453,C9
BBF10K_002469,D9
BBF10K_002491,E9
BBF10K_002499,F9
BBF10K_002526,G9
BBF10K_002827,H9
BBF10K_002548,A10
BBF10K_002557,B10
BBF10K_002582,C10
BBF10K_002602,D10
BBF10K_002605,E10
BBF10K_002653,F10
BBF10K_002689,G10
BBF10K_002717,H10
BBF10K_002732,A11
BBF10K_002752,B11
BBF10K_002754,C11
BBF10K_002763,D11
BBF10K_002786,E11
BBF10K_002847,F11
BBF10K_002854,G11
BBF10K_002871,H11
BBF10K_002906,A12
BBF10K_002937,B12
BBF10K_002939,C12
BBF10K_003009,D12
BBF10K_003015,E12
BBF10K_003028,F12
BBF10K_003086,G12
BBF10K_003093,H12
