Build,Part,Source Well,Target Well
build012,BBF10K_003070,A1,A1
build012,BBF10K_001299,B1,B1
build012,BBF10K_001742,C1,C1
build012,BBF10K_001789,D1,D1
build012,BBF10K_001818,E1,E1
build012,BBF10K_001922,F1,F1
build012,BBF10K_002600,G1,G1
build012,BBF10K_002603,H1,H1
build012,BBF10K_001297,A2,A2
build012,BBF10K_001317,B2,B2
build012,BBF10K_001344,C2,C2
build012,BBF10K_001386,D2,D2
build012,BBF10K_001406,E2,E2
build012,BBF10K_001416,F2,F2
build012,BBF10K_001443,G2,G2
build012,BBF10K_001449,H2,H2
build012,BBF10K_001463,A3,A3
build012,BBF10K_003041,B3,B3
build012,BBF10K_001516,C3,C3
build012,BBF10K_001537,D3,D3
build012,BBF10K_001572,E3,E3
build012,BBF10K_001606,F3,F3
build012,BBF10K_001608,G3,G3
build012,BBF10K_001610,H3,H3
build012,BBF10K_001616,A4,A4
build012,BBF10K_001626,B4,B4
build012,BBF10K_001627,C4,C4
build012,BBF10K_002990,D4,D4
build012,BBF10K_002993,E4,E4
build012,BBF10K_001757,F4,F4
build012,BBF10K_001796,G4,G4
build012,BBF10K_001864,H4,H4
build012,BBF10K_001872,A5,A5
build012,BBF10K_001889,B5,B5
build012,BBF10K_001921,C5,C5
build012,BBF10K_001923,D5,D5
build012,BBF10K_001939,E5,E5
build012,BBF10K_001962,F5,F5
build012,BBF10K_001983,G5,G5
build012,BBF10K_001987,H5,H5
build012,BBF10K_001996,A6,A6
build012,BBF10K_002004,B6,B6
build012,BBF10K_002029,C6,C6
build012,BBF10K_002038,D6,D6
build012,BBF10K_002062,E6,E6
build012,BBF10K_002080,F6,F6
build012,BBF10K_002097,G6,G6
build012,BBF10K_002105,H6,H6
build012,BBF10K_002110,A7,A7
build012,BBF10K_002132,B7,B7
build012,BBF10K_002140,C7,C7
build012,BBF10K_002148,D7,D7
build012,BBF10K_002156,E7,E7
build012,BBF10K_002247,F7,F7
build012,BBF10K_002270,G7,G7
build012,BBF10K_002290,H7,H7
build012,BBF10K_002296,A8,A8
build012,BBF10K_002305,B8,B8
build012,BBF10K_002338,C8,C8
build012,BBF10K_002339,D8,D8
build012,BBF10K_002347,E8,E8
build012,BBF10K_002362,F8,F8
build012,BBF10K_002389,G8,G8
build012,BBF10K_002404,H8,H8
build012,BBF10K_002426,A9,A9
build012,BBF10K_002438,B9,B9
build012,BBF10K_002453,C9,C9
build012,BBF10K_002469,D9,D9
build012,BBF10K_002491,E9,E9
build012,BBF10K_002499,F9,F9
build012,BBF10K_002526,G9,G9
build012,BBF10K_002827,H9,H9
build012,BBF10K_002548,A10,A10
build012,BBF10K_002557,B10,B10
build012,BBF10K_002582,C10,C10
build012,BBF10K_002602,D10,D10
build012,BBF10K_002605,E10,E10
build012,BBF10K_002653,F10,F10
build012,BBF10K_002689,G10,G10
build012,BBF10K_002717,H10,H10
build012,BBF10K_002732,A11,A11
build012,BBF10K_002752,B11,B11
build012,BBF10K_002754,C11,C11
build012,BBF10K_002763,D11,D11
build012,BBF10K_002786,E11,E11
build012,BBF10K_002847,F11,F11
build012,BBF10K_002854,G11,G11
build012,BBF10K_002871,H11,H11
build012,BBF10K_002906,A12,A12
build012,BBF10K_002937,B12,B12
build012,BBF10K_002939,C12,C12
build012,BBF10K_003009,D12,D12
build012,BBF10K_003015,E12,E12
build012,BBF10K_003028,F12,F12
build012,BBF10K_003086,G12,G12
build012,BBF10K_003093,H12,H12
