,Gene,Destination,Manual
0,BBF10K_000125,A1,
1,BBF10K_000335,B1,
3,BBF10K_000305,C1,
4,BBF10K_000272,D1,1
5,BBF10K_000306,E1,2
6,BBF10K_000152,F1,3
7,BBF10K_000184,G1,4
8,BBF10K_000324,H1,
9,BBF10K_000007,A2,
11,BBF10K_000257,B2,5
12,BBF10K_000400,C2,6
13,BBF10K_000172,D2,7
14,BBF10K_000361,E2,8
15,BBF10K_000002,F2,
16,BBF10K_000160,G2,
17,BBF10K_000365,H2,
