,Gene,Destination
0,BBF10K_000027,A1
1,BBF10K_000118,B1
2,BBF10K_000116,C1
3,BBF10K_000223,D1
4,BBF10K_000122,E1
5,BBF10K_000382,F1
6,BBF10K_000149,G1
7,BBF10K_000277,H1
8,BBF10K_000182,A2
10,BBF10K_000394,B2
11,BBF10K_000211,C2
12,BBF10K_000115,D2
13,BBF10K_000058,E2
14,BBF10K_000237,F2
15,BBF10K_000024,G2
16,BBF10K_000368,H2
17,BBF10K_000064,A3
18,BBF10K_000044,B3
19,BBF10K_000381,C3
20,BBF10K_000181,D3
21,BBF10K_000395,E3
23,BBF10K_000417,F3
24,BBF10K_000040,G3
25,BBF10K_000413,H3
26,BBF10K_000340,A4
27,BBF10K_000067,B4
28,BBF10K_000089,C4
29,BBF10K_000077,D4
31,BBF10K_000171,E4
32,BBF10K_000234,F4
33,BBF10K_000402,G4
34,BBF10K_000165,H4
35,BBF10K_000005,A5
36,BBF10K_000403,B5
37,BBF10K_000201,C5
38,BBF10K_000057,D5
40,BBF10K_000284,E5
41,BBF10K_000153,F5
42,BBF10K_000432,G5
43,BBF10K_000428,H5
44,BBF10K_000213,A6
45,BBF10K_000357,B6
46,BBF10K_000081,C6
47,BBF10K_000425,D6
48,BBF10K_000407,E6
49,BBF10K_000252,F6
50,BBF10K_000419,G6
51,BBF10K_000302,H6
52,BBF10K_000363,A7
53,BBF10K_000321,B7
54,BBF10K_000231,C7
55,BBF10K_000071,D7
56,BBF10K_000200,E7
57,BBF10K_000401,F7
58,BBF10K_000163,G7
60,BBF10K_000146,H7
61,BBF10K_000384,A8
62,BBF10K_000108,B8
63,BBF10K_000336,C8
64,BBF10K_000063,D8
65,BBF10K_000147,E8
66,BBF10K_000274,F8
67,BBF10K_000378,G8
68,BBF10K_000329,H8
69,BBF10K_000189,A9
70,BBF10K_000190,B9
71,BBF10K_000406,C9
72,BBF10K_000133,D9
73,BBF10K_000399,E9
74,BBF10K_000238,F9
75,BBF10K_000239,G9
76,BBF10K_000128,H9
77,BBF10K_000202,A10
78,BBF10K_000015,B10
79,BBF10K_000154,C10
80,BBF10K_000221,D10
82,BBF10K_000130,E10
83,BBF10K_000214,F10
84,BBF10K_000236,G10
85,BBF10K_000021,H10
86,BBF10K_000218,A11
87,BBF10K_000174,B11
89,BBF10K_000293,C11
90,BBF10K_000434,D11
91,BBF10K_000028,E11
92,BBF10K_000065,F11
93,BBF10K_000421,G11
94,BBF10K_000422,H11
95,BBF10K_000120,A12
96,BBF10K_000416,B12
97,BBF10K_000197,C12
98,BBF10K_000166,D12
99,BBF10K_000278,E12
100,BBF10K_000208,F12
101,BBF10K_000173,G12
102,BBF10K_000433,H12
