,Gene,Destination
82,BBF10K_000176,A10
83,BBF10K_000225,B10
84,BBF10K_000314,C10
85,BBF10K_000375,D10
86,BBF10K_000097,E10
87,BBF10K_000326,F10
88,BBF10K_000353,G10
89,BBF10K_000282,H10
90,BBF10K_000052,A11
91,BBF10K_000124,B11
92,BBF10K_000315,C11
93,BBF10K_000192,D11
94,BBF10K_000242,E11
95,BBF10K_000350,F11
96,BBF10K_000370,G11
98,BBF10K_000360,H11
99,BBF10K_000288,A12
100,BBF10K_000380,B12
101,BBF10K_000036,C12
102,BBF10K_000136,D12
103,BBF10K_000327,E12
104,BBF10K_000212,F12
105,BBF10K_000068,G12
106,BBF10K_000387,H12
