,Gene,Destination
0,BBF10K_000185,A1
1,BBF10K_000169,B1
2,BBF10K_000349,C1
3,BBF10K_000168,D1
4,BBF10K_000307,E1
5,BBF10K_000263,F1
7,BBF10K_000156,G1
8,BBF10K_000301,H1
