Gene,Destination
BBF10K_001309,A1
BBF10K_001361,B1
BBF10K_001468,C1
BBF10K_001552,D1
BBF10K_002677,E1
BBF10K_002714,F1
BBF10K_002781,G1
BBF10K_001237,H1
BBF10K_001254,A2
BBF10K_001262,B2
BBF10K_001265,C2
BBF10K_001268,D2
BBF10K_001278,E2
BBF10K_001293,F2
BBF10K_001324,G2
BBF10K_001366,H2
BBF10K_001378,A3
BBF10K_001403,B3
BBF10K_001424,C3
BBF10K_001448,D3
BBF10K_001456,E3
BBF10K_001473,F3
BBF10K_001487,G3
BBF10K_001506,H3
BBF10K_001515,A4
BBF10K_001526,B4
BBF10K_001540,C4
BBF10K_001548,D4
BBF10K_001554,E4
BBF10K_001560,F4
BBF10K_001562,G4
BBF10K_001571,H4
BBF10K_001594,A5
BBF10K_001612,B5
BBF10K_001672,C5
BBF10K_001675,D5
BBF10K_001687,E5
BBF10K_001711,F5
BBF10K_002991,G5
BBF10K_001719,H5
BBF10K_001745,A6
BBF10K_001790,B6
BBF10K_001793,C6
BBF10K_001805,D6
BBF10K_001811,E6
BBF10K_001812,F6
BBF10K_001839,G6
BBF10K_001847,H6
BBF10K_001866,A7
BBF10K_001917,B7
BBF10K_001944,C7
BBF10K_001954,D7
BBF10K_001959,E7
BBF10K_002022,F7
BBF10K_002039,G7
BBF10K_002090,H7
BBF10K_002107,A8
BBF10K_002160,B8
BBF10K_002203,C8
BBF10K_002222,D8
BBF10K_002249,E8
BBF10K_002252,F8
BBF10K_002259,G8
BBF10K_002283,H8
BBF10K_002307,A9
BBF10K_002314,B9
BBF10K_002349,C9
BBF10K_002371,D9
BBF10K_002393,E9
BBF10K_002407,F9
BBF10K_002411,G9
BBF10K_002440,H9
BBF10K_002500,A10
BBF10K_002513,B10
BBF10K_002565,C10
BBF10K_002587,D10
BBF10K_002606,E10
BBF10K_002638,F10
BBF10K_002656,G10
BBF10K_002675,H10
BBF10K_002722,A11
BBF10K_002742,B11
BBF10K_002772,C11
BBF10K_002775,D11
BBF10K_002797,E11
BBF10K_002799,F11
BBF10K_002804,G11
BBF10K_002806,H11
BBF10K_002889,A12
BBF10K_002929,B12
BBF10K_002983,C12
BBF10K_003034,D12
BBF10K_003061,E12
BBF10K_003064,F12
BBF10K_003080,G12
BBF10K_003094,H12
