Build,Part,Source Well,Target Well
build018,BBF10K_001341,A1,A1
build018,BBF10K_001863,B1,B1
build018,BBF10K_002287,C1,C1
build018,BBF10K_003018,D1,D1
build018,BBF10K_003023,E1,E1
build018,BBF10K_002944,F1,F1
build018,BBF10K_003072,G1,G1
build018,BBF10K_002959,H1,H1
build018,BBF10K_001251,A2,A2
build018,BBF10K_001259,B2,B2
build018,BBF10K_001287,C2,C2
build018,BBF10K_001289,D2,D2
build018,BBF10K_001312,E2,E2
build018,BBF10K_001362,F2,F2
build018,BBF10K_001377,G2,G2
build018,BBF10K_001381,H2,H2
build018,BBF10K_001388,A3,A3
build018,BBF10K_001397,B3,B3
build018,BBF10K_001412,C3,C3
build018,BBF10K_001415,D3,D3
build018,BBF10K_001433,E3,E3
build018,BBF10K_001441,F3,F3
build018,BBF10K_001454,G3,G3
build018,BBF10K_001514,H3,H3
build018,BBF10K_001570,A4,A4
build018,BBF10K_001595,B4,B4
build018,BBF10K_001611,C4,C4
build018,BBF10K_001669,D4,D4
build018,BBF10K_001701,E4,E4
build018,BBF10K_001720,F4,F4
build018,BBF10K_001727,G4,G4
build018,BBF10K_001737,H4,H4
build018,BBF10K_001738,A5,A5
build018,BBF10K_001744,B5,B5
build018,BBF10K_001747,C5,C5
build018,BBF10K_001768,D5,D5
build018,BBF10K_001774,E5,E5
build018,BBF10K_001784,F5,F5
build018,BBF10K_001819,G5,G5
build018,BBF10K_001840,H5,H5
build018,BBF10K_001855,A6,A6
build018,BBF10K_001856,B6,B6
build018,BBF10K_001871,C6,C6
build018,BBF10K_001883,D6,D6
build018,BBF10K_001886,E6,E6
build018,BBF10K_001906,F6,F6
build018,BBF10K_001935,G6,G6
build018,BBF10K_001936,H6,H6
build018,BBF10K_001990,A7,A7
build018,BBF10K_001999,B7,B7
build018,BBF10K_002006,C7,C7
build018,BBF10K_002013,D7,D7
build018,BBF10K_002026,E7,E7
build018,BBF10K_002032,F7,F7
build018,BBF10K_002035,G7,G7
build018,BBF10K_002112,H7,H7
build018,BBF10K_002116,A8,A8
build018,BBF10K_002126,B8,B8
build018,BBF10K_002150,C8,C8
build018,BBF10K_002159,D8,D8
build018,BBF10K_002172,E8,E8
build018,BBF10K_002206,F8,F8
build018,BBF10K_002230,G8,G8
build018,BBF10K_002250,H8,H8
build018,BBF10K_002271,A9,A9
build018,BBF10K_002279,B9,B9
build018,BBF10K_003043,C9,C9
build018,BBF10K_002316,D9,D9
build018,BBF10K_002408,E9,E9
build018,BBF10K_003044,F9,F9
build018,BBF10K_002501,G9,G9
build018,BBF10K_002515,H9,H9
build018,BBF10K_002516,A10,A10
build018,BBF10K_002549,B10,B10
build018,BBF10K_002559,C10,C10
build018,BBF10K_002564,D10,D10
build018,BBF10K_002576,E10,E10
build018,BBF10K_002579,F10,F10
build018,BBF10K_002613,G10,G10
build018,BBF10K_002676,H10,H10
build018,BBF10K_002681,A11,A11
build018,BBF10K_002704,B11,B11
build018,BBF10K_003046,C11,C11
build018,BBF10K_002730,D11,D11
build018,BBF10K_002805,E11,E11
build018,BBF10K_002817,F11,F11
build018,BBF10K_002831,G11,G11
build018,BBF10K_002840,H11,H11
build018,BBF10K_002849,A12,A12
build018,BBF10K_002876,B12,B12
build018,BBF10K_002979,C12,C12
build018,BBF10K_002982,D12,D12
build018,BBF10K_003006,E12,E12
build018,BBF10K_003031,F12,F12
build018,BBF10K_003091,G12,G12
build018,BBF10K_003092,H12,H12
