Build,Part,Source Well,Target Well
build009,BBF10K_000747,A1,A1
build009,BBF10K_000744,B1,B1
build009,BBF10K_000741,C1,C1
build009,BBF10K_000746,D1,D1
build009,BBF10K_000742,E1,E1
build009,BBF10K_000748,F1,F1
build009,BBF10K_000743,G1,G1
build009,BBF10K_000684,H1,H1
build009,BBF10K_000681,A2,A2
build009,BBF10K_000683,B2,B2
build009,BBF10K_000677,C2,C2
build009,BBF10K_000679,D2,D2
build009,BBF10K_000682,E2,E2
build009,BBF10K_000678,F2,F2
build009,BBF10K_000673,G2,G2
build009,BBF10K_000674,H2,H2
build009,BBF10K_000680,A3,A3
build009,BBF10K_000675,B3,B3
build009,BBF10K_000685,C3,C3
build009,BBF10K_000676,D3,D3
build009,BBF10K_000702,E3,E3
build009,BBF10K_000704,F3,F3
build009,BBF10K_000706,G3,G3
build009,BBF10K_000701,H3,H3
build009,BBF10K_000705,A4,A4
build009,BBF10K_000703,B4,B4
build009,BBF10K_000694,C4,C4
build009,BBF10K_000700,D4,D4
build009,BBF10K_000697,E4,E4
build009,BBF10K_000698,F4,F4
build009,BBF10K_000699,G4,G4
build009,BBF10K_000740,H4,H4
build009,BBF10K_000711,A5,A5
build009,BBF10K_000736,B5,B5
build009,BBF10K_000737,C5,C5
build009,BBF10K_000739,D5,D5
build009,BBF10K_000715,E5,E5
build009,BBF10K_000713,F5,F5
build009,BBF10K_000717,G5,G5
build009,BBF10K_000735,H5,H5
build009,BBF10K_000738,A6,A6
build009,BBF10K_000716,B6,B6
build009,BBF10K_000710,C6,C6
build009,BBF10K_000734,D6,D6
build009,BBF10K_000707,E6,E6
build009,BBF10K_000730,F6,F6
build009,BBF10K_000712,G6,G6
build009,BBF10K_000731,H6,H6
build009,BBF10K_000708,A7,A7
build009,BBF10K_000714,B7,B7
build009,BBF10K_000732,C7,C7
build009,BBF10K_000709,D7,D7
build009,BBF10K_000733,E7,E7
build009,BBF10K_000695,F7,F7
build009,BBF10K_000693,G7,G7
build009,BBF10K_000696,H7,H7
build009,BBF10K_000690,A8,A8
build009,BBF10K_000688,B8,B8
build009,BBF10K_000689,C8,C8
build009,BBF10K_000691,D8,D8
build009,BBF10K_000686,E8,E8
build009,BBF10K_000692,F8,F8
build009,BBF10K_000687,G8,G8
build009,BBF10K_000670,H8,H8
build009,BBF10K_000671,A9,A9
build009,BBF10K_000672,B9,B9
build009,BBF10K_000667,C9,C9
build009,BBF10K_000669,D9,D9
build009,BBF10K_000668,E9,E9
build009,BBF10K_000729,F9,F9
build009,BBF10K_000723,G9,G9
build009,BBF10K_000727,H9,H9
build009,BBF10K_000728,A10,A10
build009,BBF10K_000725,B10,B10
build009,BBF10K_000726,C10,C10
build009,BBF10K_000722,D10,D10
build009,BBF10K_000718,E10,E10
build009,BBF10K_000724,F10,F10
build009,BBF10K_000719,G10,G10
build009,BBF10K_000720,H10,H10
build009,BBF10K_000721,A11,A11
build009,BBF10K_000749,B11,B11
build009,BBF10K_000661,C11,C11
build009,BBF10K_000658,D11,D11
build009,BBF10K_000662,E11,E11
build009,BBF10K_000660,F11,F11
build009,BBF10K_000664,G11,G11
build009,BBF10K_000657,H11,H11
build009,BBF10K_000654,A12,A12
build009,BBF10K_000659,B12,B12
build009,BBF10K_000655,C12,C12
build009,BBF10K_000656,D12,D12
build009,BBF10K_000666,E12,E12
build009,BBF10K_000663,F12,F12
build009,BBF10K_000648,G12,G12
build009,BBF10K_000647,H12,H12
