Gene,Destination
BBF10K_001343,A1
BBF10K_001705,B1
BBF10K_001769,C1
BBF10K_002052,D1
BBF10K_002396,E1
BBF10K_001620,F1
BBF10K_002956,G1
BBF10K_003076,H1
BBF10K_002973,A2
BBF10K_001261,B2
BBF10K_001270,C2
BBF10K_001273,D2
BBF10K_001303,E2
BBF10K_002974,F2
BBF10K_001319,G2
BBF10K_001327,H2
BBF10K_001340,A3
BBF10K_001354,B3
BBF10K_001400,C3
BBF10K_001429,D3
BBF10K_001435,E3
BBF10K_001445,F3
BBF10K_001471,G3
BBF10K_001477,H3
BBF10K_001533,A4
BBF10K_001534,B4
BBF10K_001535,C4
BBF10K_001541,D4
BBF10K_001566,E4
BBF10K_001579,F4
BBF10K_001623,G4
BBF10K_001635,H4
BBF10K_001638,A5
BBF10K_001656,B5
BBF10K_001708,C5
BBF10K_001709,D5
BBF10K_001714,E5
BBF10K_001715,F5
BBF10K_001732,G5
BBF10K_001741,H5
BBF10K_001751,A6
BBF10K_001785,B6
BBF10K_001806,C6
BBF10K_001808,D6
BBF10K_001860,E6
BBF10K_001890,F6
BBF10K_001903,G6
BBF10K_001909,H6
BBF10K_001914,A7
BBF10K_002033,B7
BBF10K_002036,C7
BBF10K_002054,D7
BBF10K_002076,E7
BBF10K_002104,F7
BBF10K_002106,G7
BBF10K_002119,H7
BBF10K_002128,A8
BBF10K_002133,B8
BBF10K_002141,C8
BBF10K_002142,D8
BBF10K_002185,E8
BBF10K_002208,F8
BBF10K_002233,G8
BBF10K_002264,H8
BBF10K_002280,A9
BBF10K_002289,B9
BBF10K_002306,C9
BBF10K_002352,D9
BBF10K_002392,E9
BBF10K_002439,F9
BBF10K_002464,G9
BBF10K_002480,H9
BBF10K_002489,A10
BBF10K_002520,B10
BBF10K_002575,C10
BBF10K_002637,D10
BBF10K_002698,E10
BBF10K_003047,F10
BBF10K_002748,G10
BBF10K_002814,H10
BBF10K_002850,A11
BBF10K_002851,B11
BBF10K_002852,C11
BBF10K_002856,D11
BBF10K_002877,E11
BBF10K_002890,F11
BBF10K_002897,G11
BBF10K_002901,H11
BBF10K_002907,A12
BBF10K_002917,B12
BBF10K_002923,C12
BBF10K_003007,D12
BBF10K_003014,E12
BBF10K_003095,F12
BBF10K_003099,G12
BBF10K_003104,H12
