Gene,Destination
BBF10K_000931,A1
BBF10K_001116,B1
BBF10K_001756,C1
BBF10K_002420,D1
BBF10K_002951,E1
BBF10K_000753,F1
BBF10K_000754,G1
BBF10K_000756,H1
BBF10K_000759,A2
BBF10K_000774,B2
BBF10K_000778,C2
BBF10K_000784,D2
BBF10K_000812,E2
BBF10K_000815,F2
BBF10K_000828,G2
BBF10K_000831,H2
BBF10K_000833,A3
BBF10K_000834,B3
BBF10K_000835,C3
BBF10K_000837,D3
BBF10K_000848,E3
BBF10K_000850,F3
BBF10K_000857,G3
BBF10K_001052,H3
BBF10K_000866,A4
BBF10K_000869,B4
BBF10K_000871,C4
BBF10K_000883,D4
BBF10K_000893,E4
BBF10K_000895,F4
BBF10K_000914,G4
BBF10K_000919,H4
BBF10K_000923,A5
BBF10K_000926,B5
BBF10K_000934,C5
BBF10K_000952,D5
BBF10K_000959,E5
BBF10K_000973,F5
BBF10K_001033,G5
BBF10K_001097,H5
BBF10K_001118,A6
BBF10K_001121,B6
BBF10K_001128,C6
BBF10K_001130,D6
BBF10K_001141,E6
BBF10K_001146,F6
BBF10K_001212,G6
BBF10K_001230,H6
BBF10K_001307,A7
BBF10K_001370,B7
BBF10K_001428,C7
BBF10K_001476,D7
BBF10K_001485,E7
BBF10K_001565,F7
BBF10K_001637,G7
BBF10K_001640,H7
BBF10K_001713,A8
BBF10K_001779,B8
BBF10K_001792,C8
BBF10K_002996,D8
BBF10K_001940,E8
BBF10K_001984,F8
BBF10K_002003,G8
BBF10K_002015,H8
BBF10K_002034,A9
BBF10K_002082,B9
BBF10K_002171,C9
BBF10K_002180,D9
BBF10K_002209,E9
BBF10K_002215,F9
BBF10K_002315,G9
BBF10K_002324,H9
BBF10K_002340,A10
BBF10K_002416,B10
BBF10K_002418,C10
BBF10K_002495,D10
BBF10K_002538,E10
BBF10K_002544,F10
BBF10K_002609,G10
BBF10K_002614,H10
BBF10K_002671,A11
BBF10K_002672,B11
BBF10K_002674,C11
BBF10K_002713,D11
BBF10K_002798,E11
BBF10K_002815,F11
BBF10K_002821,G11
BBF10K_002853,H11
BBF10K_002869,A12
BBF10K_002875,B12
BBF10K_002903,C12
BBF10K_002980,D12
BBF10K_003005,E12
BBF10K_003029,F12
BBF10K_003060,G12
BBF10K_003083,H12
