Gene,Destination
BBF10K_000801,A1
BBF10K_001125,B1
BBF10K_001226,C1
BBF10K_002262,D1
BBF10K_002304,E1
BBF10K_002413,F1
BBF10K_000760,G1
BBF10K_000762,H1
BBF10K_000771,A2
BBF10K_000781,B2
BBF10K_000788,C2
BBF10K_000790,D2
BBF10K_000799,E2
BBF10K_000806,F2
BBF10K_000807,G2
BBF10K_000811,H2
BBF10K_000823,A3
BBF10K_000829,B3
BBF10K_000836,C3
BBF10K_000838,D3
BBF10K_000839,E3
BBF10K_000856,F3
BBF10K_000863,G3
BBF10K_000877,H3
BBF10K_000885,A4
BBF10K_000887,B4
BBF10K_000898,C4
BBF10K_000902,D4
BBF10K_000906,E4
BBF10K_000930,F4
BBF10K_000938,G4
BBF10K_000962,H4
BBF10K_000963,A5
BBF10K_000980,B5
BBF10K_000994,C5
BBF10K_001003,D5
BBF10K_001004,E5
BBF10K_001009,F5
BBF10K_001011,G5
BBF10K_001030,H5
BBF10K_001040,A6
BBF10K_001048,B6
BBF10K_001054,C6
BBF10K_001058,D6
BBF10K_001070,E6
BBF10K_001074,F6
BBF10K_001076,G6
BBF10K_001081,H6
BBF10K_001101,A7
BBF10K_001102,B7
BBF10K_001106,C7
BBF10K_001112,D7
BBF10K_001117,E7
BBF10K_001123,F7
BBF10K_001129,G7
BBF10K_001132,H7
BBF10K_001136,A8
BBF10K_001140,B8
BBF10K_001145,C8
BBF10K_001153,D8
BBF10K_001165,E8
BBF10K_001179,F8
BBF10K_001192,G8
BBF10K_001198,H8
BBF10K_001207,A9
BBF10K_001208,B9
BBF10K_001233,C9
BBF10K_001234,D9
BBF10K_001236,E9
BBF10K_001247,F9
BBF10K_001323,G9
BBF10K_001457,H9
BBF10K_001492,A10
BBF10K_001619,B10
BBF10K_001998,C10
BBF10K_002014,D10
BBF10K_002045,E10
BBF10K_002055,F10
BBF10K_002095,G10
BBF10K_002117,H10
BBF10K_002138,A11
BBF10K_002190,B11
BBF10K_002205,C11
BBF10K_002210,D11
BBF10K_002261,E11
BBF10K_002266,F11
BBF10K_002272,G11
BBF10K_002301,H11
BBF10K_002345,A12
BBF10K_002387,B12
BBF10K_002397,C12
BBF10K_002400,D12
BBF10K_002452,E12
BBF10K_002471,F12
BBF10K_002519,G12
BBF10K_002529,H12
