,original_build,original_well,build_name,address
BBF10K_000801,build029,A1,build029,A1
BBF10K_001125,build029,B1,build029,B1
BBF10K_001226,build029,C1,build029,C1
BBF10K_002262,build029,D1,build029,D1
BBF10K_002304,build029,E1,build029,E1
BBF10K_002413,build029,F1,build029,F1
BBF10K_000760,build029,G1,build029,G1
BBF10K_000762,build029,H1,build029,H1
BBF10K_000771,build029,A2,build029,A2
BBF10K_000781,build029,B2,build029,B2
BBF10K_000788,build029,C2,build029,C2
BBF10K_000790,build029,D2,build029,D2
BBF10K_000799,build029,E2,build029,E2
BBF10K_000806,build029,F2,build029,F2
BBF10K_000807,build029,G2,build029,G2
BBF10K_000811,build029,H2,build029,H2
BBF10K_000823,build029,A3,build029,A3
BBF10K_000829,build029,B3,build029,B3
BBF10K_000836,build029,C3,build029,C3
BBF10K_000838,build029,D3,build029,D3
BBF10K_000839,build029,E3,build029,E3
BBF10K_000856,build029,F3,build029,F3
BBF10K_000863,build029,G3,build029,G3
BBF10K_000877,build029,H3,build029,H3
BBF10K_000885,build029,A4,build029,A4
BBF10K_000887,build029,B4,build029,B4
BBF10K_000898,build029,C4,build029,C4
BBF10K_000902,build029,D4,build029,D4
BBF10K_000906,build029,E4,build029,E4
BBF10K_000930,build029,F4,build029,F4
BBF10K_000938,build029,G4,build029,G4
BBF10K_000962,build029,H4,build029,H4
BBF10K_000963,build029,A5,build029,A5
BBF10K_000980,build029,B5,build029,B5
BBF10K_000994,build029,C5,build029,C5
BBF10K_001003,build029,D5,build029,D5
BBF10K_001004,build029,E5,build029,E5
BBF10K_001009,build029,F5,build029,F5
BBF10K_001011,build029,G5,build029,G5
BBF10K_001030,build029,H5,build029,H5
BBF10K_001040,build029,A6,build029,A6
BBF10K_001048,build029,B6,build029,B6
BBF10K_001054,build029,C6,build029,C6
BBF10K_001058,build029,D6,build029,D6
BBF10K_001070,build029,E6,build029,E6
BBF10K_001074,build029,F6,build029,F6
BBF10K_001076,build029,G6,build029,G6
BBF10K_001081,build029,H6,build029,H6
BBF10K_001806,build028,C6,build029,A7
BBF10K_001102,build029,B7,build029,B7
BBF10K_001106,build029,C7,build029,C7
BBF10K_001112,build029,D7,build029,D7
BBF10K_001117,build029,E7,build029,E7
BBF10K_001123,build029,F7,build029,F7
BBF10K_001129,build029,G7,build029,G7
BBF10K_001132,build029,H7,build029,H7
BBF10K_001136,build029,A8,build029,A8
BBF10K_001140,build029,B8,build029,B8
BBF10K_001145,build029,C8,build029,C8
BBF10K_001153,build029,D8,build029,D8
BBF10K_001165,build029,E8,build029,E8
BBF10K_001179,build029,F8,build029,F8
BBF10K_001192,build029,G8,build029,G8
BBF10K_001198,build029,H8,build029,H8
BBF10K_001207,build029,A9,build029,A9
BBF10K_001208,build029,B9,build029,B9
BBF10K_001233,build029,C9,build029,C9
BBF10K_001234,build029,D9,build029,D9
BBF10K_001236,build029,E9,build029,E9
BBF10K_001247,build029,F9,build029,F9
BBF10K_001323,build029,G9,build029,G9
BBF10K_001808,build028,D6,build029,H9
BBF10K_001860,build028,E6,build029,A10
BBF10K_001619,build029,B10,build029,B10
BBF10K_001998,build029,C10,build029,C10
BBF10K_002014,build029,D10,build029,D10
BBF10K_002045,build029,E10,build029,E10
BBF10K_002055,build029,F10,build029,F10
BBF10K_002095,build029,G10,build029,G10
BBF10K_002117,build029,H10,build029,H10
BBF10K_001890,build028,F6,build029,A11
BBF10K_002190,build029,B11,build029,B11
BBF10K_002205,build029,C11,build029,C11
BBF10K_002210,build029,D11,build029,D11
BBF10K_002261,build029,E11,build029,E11
BBF10K_002266,build029,F11,build029,F11
BBF10K_002272,build029,G11,build029,G11
BBF10K_002301,build029,H11,build029,H11
BBF10K_001903,build028,G6,build029,A12
BBF10K_002387,build029,B12,build029,B12
BBF10K_002397,build029,C12,build029,C12
BBF10K_002400,build029,D12,build029,D12
BBF10K_002452,build029,E12,build029,E12
BBF10K_002471,build029,F12,build029,F12
BBF10K_002519,build029,G12,build029,G12
BBF10K_001909,build028,H6,build029,H12
