,Gene,Destination
0,BBF10K_000092,A1
1,BBF10K_000228,B1
2,BBF10K_000030,C1
3,BBF10K_000343,D1
4,BBF10K_000035,E1
5,BBF10K_000138,F1
6,BBF10K_000009,G1
8,BBF10K_000261,H1
9,BBF10K_000339,A2
10,BBF10K_000054,B2
11,BBF10K_000141,C2
12,BBF10K_000178,D2
14,BBF10K_000085,E2
15,BBF10K_000291,F2
16,BBF10K_000397,G2
17,BBF10K_000195,H2
19,BBF10K_000317,A3
21,BBF10K_000150,B3
22,BBF10K_000289,C3
23,BBF10K_000103,D3
24,BBF10K_000199,E3
25,BBF10K_000047,F3
26,BBF10K_000026,G3
28,BBF10K_000098,H3
29,BBF10K_000084,A4
30,BBF10K_000112,B4
32,BBF10K_000220,C4
33,BBF10K_000132,D4
34,BBF10K_000226,E4
36,BBF10K_000369,F4
37,BBF10K_000003,G4
38,BBF10K_000304,H4
39,BBF10K_000313,A5
40,BBF10K_000056,B5
42,BBF10K_000033,C5
43,BBF10K_000100,D5
44,BBF10K_000134,E5
47,BBF10K_000187,F5
49,BBF10K_000217,G5
51,BBF10K_000253,H5
54,BBF10K_000072,A6
56,BBF10K_000244,B6
57,BBF10K_000088,C6
58,BBF10K_000398,D6
59,BBF10K_000215,E6
60,BBF10K_000219,F6
61,BBF10K_000248,G6
62,BBF10K_000073,H6
