Gene,Destination
BBF10K_000779,A1
BBF10K_000843,B1
BBF10K_001605,C1
BBF10K_001861,D1
BBF10K_002313,E1
BBF10K_002546,F1
BBF10K_002842,G1
BBF10K_001729,H1
BBF10K_000765,A2
BBF10K_000772,B2
BBF10K_000791,C2
BBF10K_000794,D2
BBF10K_000808,E2
BBF10K_000842,F2
BBF10K_000846,G2
BBF10K_000851,H2
BBF10K_000861,A3
BBF10K_000882,B3
BBF10K_000886,C3
BBF10K_000918,D3
BBF10K_000922,E3
BBF10K_000932,F3
BBF10K_000943,G3
BBF10K_000950,H3
BBF10K_000965,A4
BBF10K_000972,B4
BBF10K_000979,C4
BBF10K_000985,D4
BBF10K_000992,E4
BBF10K_001005,F4
BBF10K_001015,G4
BBF10K_001029,H4
BBF10K_001072,A5
BBF10K_001080,B5
BBF10K_001085,C5
BBF10K_001095,D5
BBF10K_001127,E5
BBF10K_001133,F5
BBF10K_001139,G5
BBF10K_001155,H5
BBF10K_001163,A6
BBF10K_001169,B6
BBF10K_001180,C6
BBF10K_001190,D6
BBF10K_001197,E6
BBF10K_001199,F6
BBF10K_001409,G6
BBF10K_001206,H6
BBF10K_001209,A7
BBF10K_001213,B7
BBF10K_001338,C7
BBF10K_001374,D7
BBF10K_001402,E7
BBF10K_001618,F7
BBF10K_001851,G7
BBF10K_001698,H7
BBF10K_001712,A8
BBF10K_001721,B8
BBF10K_001731,C8
BBF10K_001762,D8
BBF10K_001831,E8
BBF10K_001842,F8
BBF10K_002197,G8
BBF10K_001985,H8
BBF10K_002001,A9
BBF10K_002007,B9
BBF10K_002008,C9
BBF10K_002011,D9
BBF10K_002030,E9
BBF10K_002077,F9
BBF10K_002158,G9
BBF10K_002165,H9
BBF10K_002167,A10
BBF10K_002198,B10
BBF10K_002291,C10
BBF10K_002303,D10
BBF10K_002308,E10
BBF10K_002317,F10
BBF10K_002355,G10
BBF10K_002406,H10
BBF10K_002414,A11
BBF10K_002456,B11
BBF10K_002485,C11
BBF10K_002528,D11
BBF10K_002577,E11
BBF10K_002581,F11
BBF10K_002594,G11
BBF10K_002634,H11
BBF10K_002636,A12
BBF10K_002726,B12
BBF10K_002741,C12
BBF10K_002750,D12
BBF10K_002757,E12
BBF10K_002812,F12
BBF10K_002862,G12
BBF10K_003027,H12
