Gene,Destination
BBF10K_000782,A1
BBF10K_000975,B1
BBF10K_001078,C1
BBF10K_001086,D1
BBF10K_001110,E1
BBF10K_001182,F1
BBF10K_001203,G1
BBF10K_001966,H1
BBF10K_002246,A2
BBF10K_002540,B2
BBF10K_002953,C2
BBF10K_003020,D2
BBF10K_000775,E2
BBF10K_000911,F2
BBF10K_000966,G2
BBF10K_000976,H2
BBF10K_000981,A3
BBF10K_001008,B3
BBF10K_001041,C3
BBF10K_001047,D3
BBF10K_001055,E3
BBF10K_001071,F3
BBF10K_001079,G3
BBF10K_001084,H3
BBF10K_001089,A4
BBF10K_001091,B4
BBF10K_001104,C4
BBF10K_001149,D4
BBF10K_001164,E4
BBF10K_001171,F4
BBF10K_001189,G4
BBF10K_001217,H4
BBF10K_001284,A5
BBF10K_001295,B5
BBF10K_001345,C5
BBF10K_001368,D5
BBF10K_001411,E5
BBF10K_001413,F5
BBF10K_001641,G5
BBF10K_001432,H5
BBF10K_001437,A6
BBF10K_001452,B6
BBF10K_001455,C6
BBF10K_001466,D6
BBF10K_003039,E6
BBF10K_001503,F6
BBF10K_001512,G6
BBF10K_001522,H6
BBF10K_001532,A7
BBF10K_001592,B7
BBF10K_001600,C7
BBF10K_001634,D7
BBF10K_001659,E7
BBF10K_001676,F7
BBF10K_001688,G7
BBF10K_001776,H7
BBF10K_001780,A8
BBF10K_001782,B8
BBF10K_001783,C8
BBF10K_001823,D8
BBF10K_001827,E8
BBF10K_001875,F8
BBF10K_001876,G8
BBF10K_001911,H8
BBF10K_001943,A9
BBF10K_002072,B9
BBF10K_002081,C9
BBF10K_002115,D9
BBF10K_002143,E9
BBF10K_002169,F9
BBF10K_002212,G9
BBF10K_002256,H9
BBF10K_002285,A10
BBF10K_002327,B10
BBF10K_002390,C10
BBF10K_002428,D10
BBF10K_002458,E10
BBF10K_002459,F10
BBF10K_002466,G10
BBF10K_002562,H10
BBF10K_002584,A11
BBF10K_002611,B11
BBF10K_002639,C11
BBF10K_002670,D11
BBF10K_002712,E11
BBF10K_002720,F11
BBF10K_002733,G11
BBF10K_002782,H11
BBF10K_002813,A12
BBF10K_002845,B12
BBF10K_002859,C12
BBF10K_002900,D12
BBF10K_002914,E12
BBF10K_002926,F12
BBF10K_002986,G12
BBF10K_003062,H12
