Build,Part,Source Well,Target Well
build013,BBF10K_000782,A1,A1
build013,BBF10K_000975,B1,B1
build013,BBF10K_001078,C1,C1
build013,BBF10K_001086,D1,D1
build013,BBF10K_001110,E1,E1
build013,BBF10K_001182,F1,F1
build013,BBF10K_001203,G1,G1
build013,BBF10K_001966,H1,H1
build013,BBF10K_002246,A2,A2
build013,BBF10K_002540,B2,B2
build013,BBF10K_002953,C2,C2
build013,BBF10K_003020,D2,D2
build013,BBF10K_000775,E2,E2
build013,BBF10K_000911,F2,F2
build013,BBF10K_000966,G2,G2
build013,BBF10K_000976,H2,H2
build013,BBF10K_000981,A3,A3
build013,BBF10K_001008,B3,B3
build013,BBF10K_001041,C3,C3
build013,BBF10K_001047,D3,D3
build013,BBF10K_001055,E3,E3
build013,BBF10K_001071,F3,F3
build013,BBF10K_001079,G3,G3
build013,BBF10K_001084,H3,H3
build013,BBF10K_001089,A4,A4
build013,BBF10K_001091,B4,B4
build013,BBF10K_001104,C4,C4
build013,BBF10K_001149,D4,D4
build013,BBF10K_001164,E4,E4
build013,BBF10K_001171,F4,F4
build013,BBF10K_001189,G4,G4
build013,BBF10K_001217,H4,H4
build013,BBF10K_001284,A5,A5
build013,BBF10K_001295,B5,B5
build013,BBF10K_001345,C5,C5
build013,BBF10K_001368,D5,D5
build013,BBF10K_001411,E5,E5
build013,BBF10K_001413,F5,F5
build013,BBF10K_001641,G5,G5
build013,BBF10K_001432,H5,H5
build013,BBF10K_001437,A6,A6
build013,BBF10K_001452,B6,B6
build013,BBF10K_001455,C6,C6
build013,BBF10K_001466,D6,D6
build013,BBF10K_003039,E6,E6
build013,BBF10K_001503,F6,F6
build013,BBF10K_001512,G6,G6
build013,BBF10K_001522,H6,H6
build013,BBF10K_001532,A7,A7
build013,BBF10K_001592,B7,B7
build013,BBF10K_001600,C7,C7
build013,BBF10K_001634,D7,D7
build013,BBF10K_001659,E7,E7
build013,BBF10K_001676,F7,F7
build013,BBF10K_001688,G7,G7
build013,BBF10K_001776,H7,H7
build013,BBF10K_001780,A8,A8
build013,BBF10K_001782,B8,B8
build013,BBF10K_001783,C8,C8
build013,BBF10K_001823,D8,D8
build013,BBF10K_001827,E8,E8
build013,BBF10K_001875,F8,F8
build013,BBF10K_001876,G8,G8
build013,BBF10K_001911,H8,H8
build013,BBF10K_001943,A9,A9
build013,BBF10K_002072,B9,B9
build013,BBF10K_002081,C9,C9
build013,BBF10K_002115,D9,D9
build013,BBF10K_002143,E9,E9
build013,BBF10K_002169,F9,F9
build013,BBF10K_002212,G9,G9
build013,BBF10K_002256,H9,H9
build013,BBF10K_002285,A10,A10
build013,BBF10K_002327,B10,B10
build013,BBF10K_002390,C10,C10
build013,BBF10K_002428,D10,D10
build013,BBF10K_002458,E10,E10
build013,BBF10K_002459,F10,F10
build013,BBF10K_002466,G10,G10
build013,BBF10K_002562,H10,H10
build013,BBF10K_002584,A11,A11
build013,BBF10K_002611,B11,B11
build013,BBF10K_002639,C11,C11
build013,BBF10K_002670,D11,D11
build013,BBF10K_002712,E11,E11
build013,BBF10K_002720,F11,F11
build013,BBF10K_002733,G11,G11
build013,BBF10K_002782,H11,H11
build013,BBF10K_002813,A12,A12
build013,BBF10K_002845,B12,B12
build013,BBF10K_002859,C12,C12
build013,BBF10K_002900,D12,D12
build013,BBF10K_002914,E12,E12
build013,BBF10K_002926,F12,F12
build013,BBF10K_002986,G12,G12
build013,BBF10K_003062,H12,H12
