Gene,Destination
BBF10K_000365,A1
BBF10K_000095,B1
BBF10K_000429,C1
BBF10K_000435,D1
BBF10K_000423,E1
BBF10K_000405,F1
BBF10K_000411,G1
BBF10K_000415,H1
BBF10K_000427,A2
BBF10K_000431,B2
BBF10K_000437,C2
BBF10K_000409,D2
BBF10K_000554,E2
BBF10K_000455,F2
BBF10K_000457,G2
BBF10K_000458,H2
BBF10K_000459,A3
BBF10K_000652,B3
BBF10K_000649,C3
BBF10K_000650,D3
BBF10K_000651,E3
BBF10K_000653,F3
BBF10K_000083,G3
BBF10K_000183,H3
BBF10K_000242,A4
BBF10K_000014,B4
BBF10K_000295,C4
BBF10K_000320,D4
BBF10K_000377,E4
BBF10K_000013,F4
BBF10K_000045,G4
BBF10K_000358,H4
BBF10K_000158,A5
BBF10K_000303,B5
BBF10K_000032,C5
BBF10K_000235,D5
BBF10K_000282,E5
BBF10K_000157,F5
BBF10K_000178,G5
BBF10K_000100,H5
BBF10K_000068,A6
BBF10K_000219,B6
BBF10K_000288,C6
BBF10K_000348,D6
BBF10K_000369,E6
BBF10K_000036,F6
BBF10K_000215,G6
BBF10K_000162,H6
BBF10K_000089,A7
BBF10K_000076,B7
BBF10K_000033,C7
BBF10K_000182,D7
BBF10K_000071,E7
BBF10K_000063,F7
BBF10K_000401,G7
BBF10K_000249,H7
BBF10K_000092,A8
BBF10K_000382,B8
BBF10K_000213,C8
BBF10K_000042,D8
BBF10K_000116,E8
BBF10K_000047,F8
BBF10K_000056,G8
BBF10K_000141,H8
BBF10K_000217,A9
BBF10K_000030,B9
BBF10K_000174,C9
BBF10K_000398,D9
BBF10K_000317,E9
BBF10K_000138,F9
BBF10K_000073,G9
BBF10K_000236,H9
BBF10K_000153,A10
BBF10K_000130,B10
BBF10K_000223,C10
BBF10K_000340,D10
BBF10K_000278,E10
BBF10K_000150,F10
BBF10K_000403,G10
BBF10K_000407,H10
BBF10K_000413,A11
BBF10K_000417,B11
BBF10K_000419,C11
BBF10K_000421,D11
BBF10K_000425,E11
BBF10K_000433,F11
BBF10K_000134,G11
BBF10K_000230,H11
BBF10K_000119,A12
BBF10K_000179,B12
BBF10K_000232,C12
BBF10K_000639,D12
BBF10K_000626,E12
BBF10K_000583,F12
BBF10K_000627,G12
BBF10K_000497,H12
