Build,Part,Source Well,Target Well
build010,BBF10K_000365,A1,A1
build010,BBF10K_000095,B1,B1
build010,BBF10K_000429,C1,C1
build010,BBF10K_000435,D1,D1
build010,BBF10K_000423,E1,E1
build010,BBF10K_000405,F1,F1
build010,BBF10K_000411,G1,G1
build010,BBF10K_000415,H1,H1
build010,BBF10K_000427,A2,A2
build010,BBF10K_000431,B2,B2
build010,BBF10K_000437,C2,C2
build010,BBF10K_000409,D2,D2
build010,BBF10K_000554,E2,E2
build010,BBF10K_000455,F2,F2
build010,BBF10K_000457,G2,G2
build010,BBF10K_000458,H2,H2
build010,BBF10K_000459,A3,A3
build010,BBF10K_000652,B3,B3
build010,BBF10K_000649,C3,C3
build010,BBF10K_000650,D3,D3
build010,BBF10K_000651,E3,E3
build010,BBF10K_000653,F3,F3
build010,BBF10K_000083,G3,G3
build010,BBF10K_000183,H3,H3
build010,BBF10K_000242,A4,A4
build010,BBF10K_000014,B4,B4
build010,BBF10K_000295,C4,C4
build010,BBF10K_000320,D4,D4
build010,BBF10K_000377,E4,E4
build010,BBF10K_000013,F4,F4
build010,BBF10K_000045,G4,G4
build010,BBF10K_000358,H4,H4
build010,BBF10K_000158,A5,A5
build010,BBF10K_000303,B5,B5
build010,BBF10K_000032,C5,C5
build010,BBF10K_000235,D5,D5
build010,BBF10K_000282,E5,E5
build010,BBF10K_000157,F5,F5
build010,BBF10K_000178,G5,G5
build010,BBF10K_000100,H5,H5
build010,BBF10K_000068,A6,A6
build010,BBF10K_000219,B6,B6
build010,BBF10K_000288,C6,C6
build010,BBF10K_000348,D6,D6
build010,BBF10K_000369,E6,E6
build010,BBF10K_000036,F6,F6
build010,BBF10K_000215,G6,G6
build010,BBF10K_000162,H6,H6
build010,BBF10K_000089,A7,A7
build010,BBF10K_000076,B7,B7
build010,BBF10K_000033,C7,C7
build010,BBF10K_000182,D7,D7
build010,BBF10K_000071,E7,E7
build010,BBF10K_000063,F7,F7
build010,BBF10K_000401,G7,G7
build010,BBF10K_000249,H7,H7
build010,BBF10K_000092,A8,A8
build010,BBF10K_000382,B8,B8
build010,BBF10K_000213,C8,C8
build010,BBF10K_000042,D8,D8
build010,BBF10K_000116,E8,E8
build010,BBF10K_000047,F8,F8
build010,BBF10K_000056,G8,G8
build010,BBF10K_000141,H8,H8
build010,BBF10K_000217,A9,A9
build010,BBF10K_000030,B9,B9
build010,BBF10K_000174,C9,C9
build010,BBF10K_000398,D9,D9
build010,BBF10K_000317,E9,E9
build010,BBF10K_000138,F9,F9
build010,BBF10K_000073,G9,G9
build010,BBF10K_000236,H9,H9
build010,BBF10K_000153,A10,A10
build010,BBF10K_000130,B10,B10
build010,BBF10K_000223,C10,C10
build010,BBF10K_000340,D10,D10
build010,BBF10K_000278,E10,E10
build010,BBF10K_000150,F10,F10
build010,BBF10K_000403,G10,G10
build010,BBF10K_000407,H10,H10
build010,BBF10K_000413,A11,A11
build010,BBF10K_000417,B11,B11
build010,BBF10K_000419,C11,C11
build010,BBF10K_000421,D11,D11
build010,BBF10K_000425,E11,E11
build010,BBF10K_000433,F11,F11
build010,BBF10K_000134,G11,G11
build010,BBF10K_000230,H11,H11
build010,BBF10K_000119,A12,A12
build010,BBF10K_000179,B12,B12
build010,BBF10K_000232,C12,C12
build010,BBF10K_000639,D12,D12
build010,BBF10K_000626,E12,E12
build010,BBF10K_000583,F12,F12
build010,BBF10K_000627,G12,G12
build010,BBF10K_000497,H12,H12
