Gene,Destination
BBF10K_001629,A1
BBF10K_002793,B1
BBF10K_002943,C1
BBF10K_002947,D1
BBF10K_002970,E1
BBF10K_001244,F1
BBF10K_001258,G1
BBF10K_001276,H1
BBF10K_001294,A2
BBF10K_001347,B2
BBF10K_001356,C2
BBF10K_001373,D2
BBF10K_001383,E2
BBF10K_001464,F2
BBF10K_001481,G2
BBF10K_001483,H2
BBF10K_001484,A3
BBF10K_001500,B3
BBF10K_001539,C3
BBF10K_001546,D3
BBF10K_001558,E3
BBF10K_001584,F3
BBF10K_001593,G3
BBF10K_001597,H3
BBF10K_001602,A4
BBF10K_002988,B4
BBF10K_001609,C4
BBF10K_001614,D4
BBF10K_002989,E4
BBF10K_001628,F4
BBF10K_001642,G4
BBF10K_001646,H4
BBF10K_001686,A5
BBF10K_001697,B5
BBF10K_001718,C5
BBF10K_002994,D5
BBF10K_001777,E5
BBF10K_001828,F5
BBF10K_001837,G5
BBF10K_001859,H5
BBF10K_001888,A6
BBF10K_001904,B6
BBF10K_001905,C6
BBF10K_001912,D6
BBF10K_001945,E6
BBF10K_001947,F6
BBF10K_001968,G6
BBF10K_001982,H6
BBF10K_002050,A7
BBF10K_002058,B7
BBF10K_002065,C7
BBF10K_002070,D7
BBF10K_002087,E7
BBF10K_002094,F7
BBF10K_002096,G7
BBF10K_002099,H7
BBF10K_002155,A8
BBF10K_002202,B8
BBF10K_002310,C8
BBF10K_002343,D8
BBF10K_002381,E8
BBF10K_002398,F8
BBF10K_002435,G8
BBF10K_002441,H8
BBF10K_002454,A9
BBF10K_002455,B9
BBF10K_002483,C9
BBF10K_002502,D9
BBF10K_002533,E9
BBF10K_002535,F9
BBF10K_002541,G9
BBF10K_002550,H9
BBF10K_002563,A10
BBF10K_002568,B10
BBF10K_002644,C10
BBF10K_002663,D10
BBF10K_002664,E10
BBF10K_002673,F10
BBF10K_002694,G10
BBF10K_002719,H10
BBF10K_002737,A11
BBF10K_002747,B11
BBF10K_002758,C11
BBF10K_002761,D11
BBF10K_002771,E11
BBF10K_002776,F11
BBF10K_002780,G11
BBF10K_002792,H11
BBF10K_003105,A12
BBF10K_002857,B12
BBF10K_002881,C12
BBF10K_002887,D12
BBF10K_002918,E12
BBF10K_003098,F12
BBF10K_003108,G12
BBF10K_003110,H12
