,original_build,original_well,build_name,address
BBF10K_001579,build028,F4,build026,A1
BBF10K_001930,build026,B1,build026,B1
BBF10K_002211,build026,C1,build026,C1
BBF10K_001623,build028,G4,build026,D1
BBF10K_002942,build026,E1,build026,E1
BBF10K_002946,build026,F1,build026,F1
BBF10K_002949,build026,G1,build026,G1
BBF10K_002952,build026,H1,build026,H1
BBF10K_001635,build028,H4,build026,A2
BBF10K_002960,build026,B2,build026,B2
BBF10K_002963,build026,C2,build026,C2
BBF10K_001656,build028,B5,build026,D2
BBF10K_001305,build026,E2,build026,E2
BBF10K_001310,build026,F2,build026,F2
BBF10K_001350,build026,G2,build026,G2
BBF10K_001367,build026,H2,build026,H2
BBF10K_001372,build026,A3,build026,A3
BBF10K_001505,build026,B3,build026,B3
BBF10K_001564,build026,C3,build026,C3
BBF10K_001567,build026,D3,build026,D3
BBF10K_001577,build026,E3,build026,E3
BBF10K_001617,build026,F3,build026,F3
BBF10K_001625,build026,G3,build026,G3
BBF10K_001647,build026,H3,build026,H3
BBF10K_001681,build026,A4,build026,A4
BBF10K_001700,build026,B4,build026,B4
BBF10K_001728,build026,C4,build026,C4
BBF10K_001740,build026,D4,build026,D4
BBF10K_001772,build026,E4,build026,E4
BBF10K_001791,build026,F4,build026,F4
BBF10K_001801,build026,G4,build026,G4
BBF10K_001809,build026,H4,build026,H4
BBF10K_001836,build026,A5,build026,A5
BBF10K_001848,build026,B5,build026,B5
BBF10K_001896,build026,C5,build026,C5
BBF10K_001900,build026,D5,build026,D5
BBF10K_001919,build026,E5,build026,E5
BBF10K_001925,build026,F5,build026,F5
BBF10K_001953,build026,G5,build026,G5
BBF10K_001971,build026,H5,build026,H5
BBF10K_001973,build026,A6,build026,A6
BBF10K_001979,build026,B6,build026,B6
BBF10K_002002,build026,C6,build026,C6
BBF10K_002010,build026,D6,build026,D6
BBF10K_002047,build026,E6,build026,E6
BBF10K_002079,build026,F6,build026,F6
BBF10K_002175,build026,G6,build026,G6
BBF10K_002194,build026,H6,build026,H6
BBF10K_002214,build026,A7,build026,A7
BBF10K_002240,build026,B7,build026,B7
BBF10K_002257,build026,C7,build026,C7
BBF10K_001708,build028,C5,build026,D7
BBF10K_002302,build026,E7,build026,E7
BBF10K_002351,build026,F7,build026,F7
BBF10K_002419,build026,G7,build026,G7
BBF10K_001709,build028,D5,build026,H7
BBF10K_002468,build026,A8,build026,A8
BBF10K_002482,build026,B8,build026,B8
BBF10K_002486,build026,C8,build026,C8
BBF10K_002490,build026,D8,build026,D8
BBF10K_002506,build026,E8,build026,E8
BBF10K_002512,build026,F8,build026,F8
BBF10K_002524,build026,G8,build026,G8
BBF10K_002532,build026,H8,build026,H8
BBF10K_002553,build026,A9,build026,A9
BBF10K_003000,build026,B9,build026,B9
BBF10K_002590,build026,C9,build026,C9
BBF10K_002592,build026,D9,build026,D9
BBF10K_002612,build026,E9,build026,E9
BBF10K_002627,build026,F9,build026,F9
BBF10K_002630,build026,G9,build026,G9
BBF10K_002642,build026,H9,build026,H9
BBF10K_002643,build026,A10,build026,A10
BBF10K_002650,build026,B10,build026,B10
BBF10K_002655,build026,C10,build026,C10
BBF10K_002683,build026,D10,build026,D10
BBF10K_002718,build026,E10,build026,E10
BBF10K_002729,build026,F10,build026,F10
BBF10K_002756,build026,G10,build026,G10
BBF10K_002829,build026,H10,build026,H10
BBF10K_002841,build026,A11,build026,A11
BBF10K_003067,build026,B11,build026,B11
BBF10K_002893,build026,C11,build026,C11
BBF10K_002915,build026,D11,build026,D11
BBF10K_002922,build026,E11,build026,E11
BBF10K_002928,build026,F11,build026,F11
BBF10K_001715,build028,F5,build026,G11
BBF10K_002936,build026,H11,build026,H11
BBF10K_002976,build026,A12,build026,A12
BBF10K_003011,build026,B12,build026,B12
BBF10K_003024,build026,C12,build026,C12
BBF10K_001732,build028,G5,build026,D12
BBF10K_003059,build026,E12,build026,E12
BBF10K_003088,build026,F12,build026,F12
BBF10K_003097,build026,G12,build026,G12
BBF10K_001741,build028,H5,build026,H12
