Gene,Destination
BBF10K_001869,A1
BBF10K_001930,B1
BBF10K_002211,C1
BBF10K_002868,D1
BBF10K_002942,E1
BBF10K_002946,F1
BBF10K_002949,G1
BBF10K_002952,H1
BBF10K_002599,A2
BBF10K_002960,B2
BBF10K_002963,C2
BBF10K_001298,D2
BBF10K_001305,E2
BBF10K_001310,F2
BBF10K_001350,G2
BBF10K_001367,H2
BBF10K_001372,A3
BBF10K_001505,B3
BBF10K_001564,C3
BBF10K_001567,D3
BBF10K_001577,E3
BBF10K_001617,F3
BBF10K_001625,G3
BBF10K_001647,H3
BBF10K_001681,A4
BBF10K_001700,B4
BBF10K_001728,C4
BBF10K_001740,D4
BBF10K_001772,E4
BBF10K_001791,F4
BBF10K_001801,G4
BBF10K_001809,H4
BBF10K_001836,A5
BBF10K_001848,B5
BBF10K_001896,C5
BBF10K_001900,D5
BBF10K_001919,E5
BBF10K_001925,F5
BBF10K_001953,G5
BBF10K_001971,H5
BBF10K_001973,A6
BBF10K_001979,B6
BBF10K_002002,C6
BBF10K_002010,D6
BBF10K_002047,E6
BBF10K_002079,F6
BBF10K_002175,G6
BBF10K_002194,H6
BBF10K_002214,A7
BBF10K_002240,B7
BBF10K_002257,C7
BBF10K_002260,D7
BBF10K_002302,E7
BBF10K_002351,F7
BBF10K_002419,G7
BBF10K_002448,H7
BBF10K_002468,A8
BBF10K_002482,B8
BBF10K_002486,C8
BBF10K_002490,D8
BBF10K_002506,E8
BBF10K_002512,F8
BBF10K_002524,G8
BBF10K_002532,H8
BBF10K_002553,A9
BBF10K_003000,B9
BBF10K_002590,C9
BBF10K_002592,D9
BBF10K_002612,E9
BBF10K_002627,F9
BBF10K_002630,G9
BBF10K_002642,H9
BBF10K_002643,A10
BBF10K_002650,B10
BBF10K_002655,C10
BBF10K_002683,D10
BBF10K_002718,E10
BBF10K_002729,F10
BBF10K_002756,G10
BBF10K_002829,H10
BBF10K_002841,A11
BBF10K_003067,B11
BBF10K_002893,C11
BBF10K_002915,D11
BBF10K_002922,E11
BBF10K_002928,F11
BBF10K_002931,G11
BBF10K_002936,H11
BBF10K_002976,A12
BBF10K_003011,B12
BBF10K_003024,C12
BBF10K_003037,D12
BBF10K_003059,E12
BBF10K_003088,F12
BBF10K_003097,G12
BBF10K_003112,H12
