Gene,Destination
BBF10K_002687,A1
BBF10K_002945,B1
BBF10K_001240,C1
BBF10K_001242,D1
BBF10K_001253,E1
BBF10K_001266,F1
BBF10K_001275,G1
BBF10K_001286,H1
BBF10K_001290,A2
BBF10K_001348,B2
BBF10K_001353,C2
BBF10K_001408,D2
BBF10K_001410,E2
BBF10K_001467,F2
BBF10K_001474,G2
BBF10K_001480,H2
BBF10K_001497,A3
BBF10K_001547,B3
BBF10K_001557,C3
BBF10K_001582,D3
BBF10K_001661,E3
BBF10K_001725,F3
BBF10K_001730,G3
BBF10K_001734,H3
BBF10K_001736,A4
BBF10K_001759,B4
BBF10K_001786,C4
BBF10K_001787,D4
BBF10K_001873,E4
BBF10K_001882,F4
BBF10K_001884,G4
BBF10K_001894,H4
BBF10K_001898,A5
BBF10K_001927,B5
BBF10K_001931,C5
BBF10K_001952,D5
BBF10K_001955,E5
BBF10K_001974,F5
BBF10K_001975,G5
BBF10K_003050,H5
BBF10K_002009,A6
BBF10K_002018,B6
BBF10K_002025,C6
BBF10K_002040,D6
BBF10K_002043,E6
BBF10K_002051,F6
BBF10K_002059,G6
BBF10K_002067,H6
BBF10K_002137,A7
BBF10K_002139,B7
BBF10K_002163,C7
BBF10K_002179,D7
BBF10K_002187,E7
BBF10K_002196,F7
BBF10K_002219,G7
BBF10K_002223,H7
BBF10K_002236,A8
BBF10K_002263,B8
BBF10K_002269,C8
BBF10K_002276,D8
BBF10K_002282,E8
BBF10K_002309,F8
BBF10K_002326,G8
BBF10K_002332,H8
BBF10K_002358,A9
BBF10K_002373,B9
BBF10K_002379,C9
BBF10K_002417,D9
BBF10K_002429,E9
BBF10K_002444,F9
BBF10K_002465,G9
BBF10K_002478,H9
BBF10K_002503,A10
BBF10K_002510,B10
BBF10K_002534,C10
BBF10K_002543,D10
BBF10K_002545,E10
BBF10K_002552,F10
BBF10K_002572,G10
BBF10K_002574,H10
BBF10K_002604,A11
BBF10K_002640,B11
BBF10K_002662,C11
BBF10K_002667,D11
BBF10K_002731,E11
BBF10K_002734,F11
BBF10K_002745,G11
BBF10K_003048,H11
BBF10K_002765,A12
BBF10K_002803,B12
BBF10K_002837,C12
BBF10K_002843,D12
BBF10K_002925,E12
BBF10K_002981,F12
BBF10K_002984,G12
BBF10K_003017,H12
