Gene,Destination
BBF10K_001833,A1
BBF10K_002108,B1
BBF10K_002948,C1
BBF10K_003074,D1
BBF10K_002971,E1
BBF10K_001279,F1
BBF10K_001280,G1
BBF10K_001288,H1
BBF10K_001311,A2
BBF10K_002987,B2
BBF10K_001313,C2
BBF10K_001320,D2
BBF10K_001321,E2
BBF10K_001332,F2
BBF10K_001336,G2
BBF10K_001419,H2
BBF10K_001421,A3
BBF10K_001427,B3
BBF10K_001430,C3
BBF10K_001431,D3
BBF10K_001439,E3
BBF10K_001450,F3
BBF10K_001459,G3
BBF10K_001501,H3
BBF10K_001520,A4
BBF10K_001525,B4
BBF10K_001549,C4
BBF10K_001556,D4
BBF10K_001590,E4
BBF10K_001685,F4
BBF10K_001690,G4
BBF10K_001699,H4
BBF10K_001706,A5
BBF10K_001722,B5
BBF10K_002992,C5
BBF10K_001781,D5
BBF10K_001841,E5
BBF10K_001865,F5
BBF10K_001870,G5
BBF10K_001874,H5
BBF10K_001899,A6
BBF10K_001907,B6
BBF10K_001910,C6
BBF10K_001949,D6
BBF10K_001956,E6
BBF10K_001970,F6
BBF10K_002037,G6
BBF10K_002056,H6
BBF10K_002073,A7
BBF10K_002075,B7
BBF10K_002089,C7
BBF10K_002100,D7
BBF10K_002144,E7
BBF10K_002147,F7
BBF10K_002161,G7
BBF10K_002216,H7
BBF10K_002221,A8
BBF10K_002234,B8
BBF10K_002242,C8
BBF10K_002274,D8
BBF10K_002300,E8
BBF10K_002311,F8
BBF10K_002328,G8
BBF10K_002342,H8
BBF10K_002363,A9
BBF10K_002394,B9
BBF10K_002410,C9
BBF10K_002447,D9
BBF10K_002477,E9
BBF10K_002521,F9
BBF10K_002578,G9
BBF10K_002586,H9
BBF10K_003045,A10
BBF10K_002647,B10
BBF10K_002654,C10
BBF10K_002686,D10
BBF10K_002690,E10
BBF10K_002691,F10
BBF10K_002723,G10
BBF10K_002749,H10
BBF10K_002789,A11
BBF10K_003066,B11
BBF10K_002807,C11
BBF10K_002818,D11
BBF10K_002872,E11
BBF10K_002885,F11
BBF10K_002899,G11
BBF10K_002927,H11
BBF10K_003002,A12
BBF10K_003032,B12
BBF10K_003033,C12
BBF10K_003036,D12
BBF10K_003079,E12
BBF10K_003109,F12
BBF10K_003114,G12
BBF10K_003117,H12
