,original_build,original_well,build_name,address
BBF10K_001833,build027,A1,build027,A1
BBF10K_002108,build027,B1,build027,B1
BBF10K_002948,build027,C1,build027,C1
BBF10K_003074,build027,D1,build027,D1
BBF10K_002971,build027,E1,build027,E1
BBF10K_001279,build027,F1,build027,F1
BBF10K_001280,build027,G1,build027,G1
BBF10K_001288,build027,H1,build027,H1
BBF10K_001311,build027,A2,build027,A2
BBF10K_002987,build027,B2,build027,B2
BBF10K_001313,build027,C2,build027,C2
BBF10K_001320,build027,D2,build027,D2
BBF10K_001321,build027,E2,build027,E2
BBF10K_001332,build027,F2,build027,F2
BBF10K_001336,build027,G2,build027,G2
BBF10K_001419,build027,H2,build027,H2
BBF10K_001421,build027,A3,build027,A3
BBF10K_001427,build027,B3,build027,B3
BBF10K_001430,build027,C3,build027,C3
BBF10K_001431,build027,D3,build027,D3
BBF10K_001439,build027,E3,build027,E3
BBF10K_001450,build027,F3,build027,F3
BBF10K_001459,build027,G3,build027,G3
BBF10K_001501,build027,H3,build027,H3
BBF10K_001520,build027,A4,build027,A4
BBF10K_001525,build027,B4,build027,B4
BBF10K_001549,build027,C4,build027,C4
BBF10K_001556,build027,D4,build027,D4
BBF10K_001590,build027,E4,build027,E4
BBF10K_001685,build027,F4,build027,F4
BBF10K_001690,build027,G4,build027,G4
BBF10K_001699,build027,H4,build027,H4
BBF10K_001706,build027,A5,build027,A5
BBF10K_001722,build027,B5,build027,B5
BBF10K_002992,build027,C5,build027,C5
BBF10K_001781,build027,D5,build027,D5
BBF10K_001841,build027,E5,build027,E5
BBF10K_001865,build027,F5,build027,F5
BBF10K_001870,build027,G5,build027,G5
BBF10K_001874,build027,H5,build027,H5
BBF10K_001899,build027,A6,build027,A6
BBF10K_001907,build027,B6,build027,B6
BBF10K_001910,build027,C6,build027,C6
BBF10K_001949,build027,D6,build027,D6
BBF10K_001956,build027,E6,build027,E6
BBF10K_001970,build027,F6,build027,F6
BBF10K_002037,build027,G6,build027,G6
BBF10K_002056,build027,H6,build027,H6
BBF10K_001785,build028,B6,build027,A7
BBF10K_002075,build027,B7,build027,B7
BBF10K_002089,build027,C7,build027,C7
BBF10K_002100,build027,D7,build027,D7
BBF10K_002144,build027,E7,build027,E7
BBF10K_002147,build027,F7,build027,F7
BBF10K_002161,build027,G7,build027,G7
BBF10K_002216,build027,H7,build027,H7
BBF10K_002221,build027,A8,build027,A8
BBF10K_002234,build027,B8,build027,B8
BBF10K_002242,build027,C8,build027,C8
BBF10K_002274,build027,D8,build027,D8
BBF10K_002300,build027,E8,build027,E8
BBF10K_002311,build027,F8,build027,F8
BBF10K_002328,build027,G8,build027,G8
BBF10K_002342,build027,H8,build027,H8
BBF10K_002363,build027,A9,build027,A9
BBF10K_002394,build027,B9,build027,B9
BBF10K_002410,build027,C9,build027,C9
BBF10K_002447,build027,D9,build027,D9
BBF10K_002477,build027,E9,build027,E9
BBF10K_002521,build027,F9,build027,F9
BBF10K_002578,build027,G9,build027,G9
BBF10K_002586,build027,H9,build027,H9
BBF10K_003045,build027,A10,build027,A10
BBF10K_002647,build027,B10,build027,B10
BBF10K_002654,build027,C10,build027,C10
BBF10K_002686,build027,D10,build027,D10
BBF10K_002690,build027,E10,build027,E10
BBF10K_002691,build027,F10,build027,F10
BBF10K_002723,build027,G10,build027,G10
BBF10K_002749,build027,H10,build027,H10
BBF10K_002789,build027,A11,build027,A11
BBF10K_003066,build027,B11,build027,B11
BBF10K_002807,build027,C11,build027,C11
BBF10K_002818,build027,D11,build027,D11
BBF10K_002872,build027,E11,build027,E11
BBF10K_002885,build027,F11,build027,F11
BBF10K_002899,build027,G11,build027,G11
BBF10K_002927,build027,H11,build027,H11
BBF10K_003002,build027,A12,build027,A12
BBF10K_003032,build027,B12,build027,B12
BBF10K_003033,build027,C12,build027,C12
BBF10K_003036,build027,D12,build027,D12
BBF10K_003079,build027,E12,build027,E12
BBF10K_003109,build027,F12,build027,F12
BBF10K_003114,build027,G12,build027,G12
BBF10K_003117,build027,H12,build027,H12
