Build,Part,Source Well,Target Well
build008,BBF10K_000632,A1,A1
build008,BBF10K_000460,B1,B1
build008,BBF10K_000461,C1,C1
build008,BBF10K_000462,D1,D1
build008,BBF10K_000463,E1,E1
build008,BBF10K_000464,F1,F1
build008,BBF10K_000465,G1,G1
build008,BBF10K_000466,H1,H1
build008,BBF10K_000467,A2,A2
build008,BBF10K_000535,B2,B2
build008,BBF10K_000539,C2,C2
build008,BBF10K_000354,D2,D2
build008,BBF10K_000241,E2,E2
build008,BBF10K_000051,F2,F2
build008,BBF10K_000018,G2,G2
build008,BBF10K_000017,H2,H2
build008,BBF10K_000283,A3,A3
build008,BBF10K_000628,B3,B3
build008,BBF10K_000367,C3,C3
build008,BBF10K_000276,D3,D3
build008,BBF10K_000334,E3,E3
build008,BBF10K_000022,F3,F3
build008,BBF10K_000319,G3,G3
__build009__,BBF10K_000741,C1,H3
__build009__,BBF10K_000742,E1,A4
__build009__,BBF10K_000748,F1,B4
__build009__,BBF10K_000684,H1,C4
__build009__,BBF10K_000683,B2,D4
__build009__,BBF10K_000678,F2,E4
__build009__,BBF10K_000673,G2,F4
__build009__,BBF10K_000702,E3,G4
__build009__,BBF10K_000704,F3,H4
__build009__,BBF10K_000701,H3,A5
__build009__,BBF10K_000700,D4,B5
__build009__,BBF10K_000740,H4,C5
__build009__,BBF10K_000734,D6,D5
__build009__,BBF10K_000730,F6,E5
__build009__,BBF10K_000712,G6,F5
__build009__,BBF10K_000708,A7,G5
__build009__,BBF10K_000732,C7,H5
__build009__,BBF10K_000693,G7,A6
__build009__,BBF10K_000688,B8,B6
__build009__,BBF10K_000686,E8,C6
__build009__,BBF10K_000667,C9,D6
__build009__,BBF10K_000668,E9,E6
__build009__,BBF10K_000729,F9,F6
__build009__,BBF10K_000723,G9,G6
__build009__,BBF10K_000725,B10,H6
__build009__,BBF10K_000724,F10,A7
__build009__,BBF10K_000719,G10,B7
__build009__,BBF10K_000661,C11,C7
__build009__,BBF10K_000657,H11,D7
__build009__,BBF10K_000654,A12,E7
__build009__,BBF10K_000655,C12,F7
__build009__,BBF10K_000656,D12,G7
__build009__,BBF10K_000647,H12,H7
__build007__,BBF10K_000485,C1,A8
__build007__,BBF10K_000481,A2,B8
__build007__,BBF10K_000475,E2,C8
__build007__,BBF10K_000473,C3,D8
__build007__,BBF10K_000484,F4,E8
__build007__,BBF10K_000477,A5,F8
__build007__,BBF10K_000542,G5,G8
__build007__,BBF10K_000503,F5,H8
__build007__,BBF10K_000509,G7,A9
__build007__,BBF10K_000504,E5,B9
__build007__,BBF10K_000556,C11,C9
__build006__,BBF10K_000054,B2,D9
__build006__,BBF10K_000195,H2,E9
__build006__,BBF10K_000103,D3,F9
__build006__,BBF10K_000199,E3,G9
__build006__,BBF10K_000026,G3,H9
__build006__,BBF10K_000313,A5,A10
__build006__,BBF10K_000072,A6,B10
__build006__,BBF10K_000224,C7,C10
__build006__,BBF10K_000294,G7,D10
__build006__,BBF10K_000629,D8,E10
__build006__,BBF10K_000634,E8,F10
__build006__,BBF10K_000439,E9,G10
__build006__,BBF10K_000453,G9,H10
__build006__,BBF10K_000446,D10,A11
__build006__,BBF10K_000602,F10,B11
__build006__,BBF10K_000620,G10,C11
__build006__,BBF10K_000596,C11,D11
__build006__,BBF10K_000618,E11,E11
__build006__,BBF10K_000607,G11,F11
__build006__,BBF10K_000595,A12,G11
__build005__,BBF10K_000016,H1,H11
__build005__,BBF10K_000410,C2,A12
__build005__,BBF10K_000414,G2,B12
__build005__,BBF10K_000008,G3,C12
__build005__,BBF10K_000059,G4,D12
__build005__,BBF10K_000233,F5,E12
__build005__,BBF10K_000075,E6,F12
__build005__,BBF10K_000563,B7,G12
__build005__,BBF10K_000569,G7,H12
