Gene,Destination
BBF10K_002186,A1
BBF10K_001386,B1
BBF10K_001249,C1
BBF10K_002548,D1
BBF10K_001818,E1
BBF10K_001346,F1
BBF10K_002453,G1
BBF10K_002004,H1
BBF10K_003107,A2
BBF10K_001467,B2
BBF10K_002503,C2
BBF10K_002552,D2
BBF10K_001974,E2
BBF10K_001344,F2
BBF10K_001443,G2
BBF10K_003086,H2
BBF10K_002653,A3
BBF10K_002827,B3
BBF10K_002062,C3
BBF10K_002526,D3
BBF10K_002339,E3
BBF10K_002754,F3
BBF10K_002937,G3
BBF10K_002803,H3
BBF10K_001626,A4
BBF10K_002219,B4
BBF10K_001286,C4
BBF10K_002196,D4
BBF10K_002389,E4
BBF10K_002945,F4
BBF10K_002689,G4
BBF10K_002140,H4
BBF10K_002603,A5
BBF10K_002557,B5
BBF10K_002582,C5
BBF10K_001962,D5
BBF10K_002939,E5
BBF10K_001253,F5
BBF10K_002148,G5
BBF10K_002282,H5
BBF10K_002438,A6
BBF10K_001610,B6
BBF10K_001572,C6
BBF10K_002940,D6
BBF10K_001516,E6
BBF10K_001463,F6
BBF10K_002296,G6
BBF10K_001739,H6
BBF10K_001786,A7
BBF10K_002276,B7
BBF10K_001993,C7
BBF10K_001996,D7
BBF10K_001449,E7
BBF10K_002220,F7
BBF10K_002499,G7
BBF10K_001616,H7
BBF10K_002717,A8
BBF10K_002097,B8
BBF10K_001333,C8
BBF10K_002491,D8
BBF10K_002067,E8
BBF10K_002156,F8
BBF10K_002786,G8
BBF10K_003070,H8
BBF10K_001757,A9
BBF10K_001416,B9
BBF10K_002871,C9
BBF10K_002476,D9
BBF10K_002332,E9
BBF10K_002270,F9
BBF10K_002110,G9
BBF10K_003009,H9
BBF10K_002847,A10
BBF10K_001334,B10
BBF10K_001742,C10
BBF10K_002000,D10
BBF10K_001408,E10
BBF10K_002765,F10
BBF10K_001931,G10
BBF10K_001636,H10
BBF10K_002163,A11
BBF10K_002906,B11
BBF10K_002269,C11
BBF10K_002105,D11
BBF10K_001730,E11
BBF10K_002993,F11
BBF10K_002347,G11
BBF10K_002605,H11
BBF10K_001290,A12
BBF10K_002843,B12
BBF10K_002179,C12
BBF10K_003093,D12
BBF10K_002574,E12
BBF10K_002854,F12
BBF10K_002423,G12
BBF10K_003028,H12
