Build,Part,Source Well,Target Well
build011,BBF10K_002186,A1,A1
build011,BBF10K_002847,B1,B1
build011,BBF10K_001386,C1,C1
build011,BBF10K_002000,D1,D1
build011,BBF10K_002220,E1,E1
build011,BBF10K_001333,F1,F1
build011,BBF10K_001249,G1,G1
build011,BBF10K_002717,H1,H1
build011,BBF10K_002548,A2,A2
build011,BBF10K_002156,B2,B2
build011,BBF10K_001818,C2,C2
build011,BBF10K_001742,D2,D2
build011,BBF10K_001993,E2,E2
build011,BBF10K_002499,F2,F2
build011,BBF10K_001346,G2,G2
build011,BBF10K_001334,H2,H2
build011,BBF10K_002453,A3,A3
build011,BBF10K_001757,B3,B3
build011,BBF10K_002004,C3,C3
build011,BBF10K_001416,D3,D3
build011,BBF10K_001739,E3,E3
build011,BBF10K_003009,F3,F3
build011,BBF10K_003107,G3,G3
build011,BBF10K_002476,H3,H3
