Build,Part,Source Well,Target Well
build017,BBF10K_001326,A1,A1
build017,BBF10K_001404,B1,B1
build017,BBF10K_001420,C1,C1
build017,BBF10K_001482,D1,D1
build017,BBF10K_001677,E1,E1
build017,BBF10K_001704,F1,F1
build017,BBF10K_001824,G1,G1
build017,BBF10K_001807,H1,H1
build017,BBF10K_001932,A2,A2
build017,BBF10K_002124,B2,B2
build017,BBF10K_002295,C2,C2
build017,BBF10K_002463,D2,D2
build017,BBF10K_002648,E2,E2
build017,BBF10K_002810,F2,F2
build017,BBF10K_003081,G2,G2
build017,BBF10K_001643,H2,H2
build017,BBF10K_002954,A3,A3
build017,BBF10K_002740,B3,B3
build017,BBF10K_003077,C3,C3
build017,BBF10K_000897,D3,D3
build017,BBF10K_000935,E3,E3
build017,BBF10K_000970,F3,F3
build017,BBF10K_001031,G3,G3
build017,BBF10K_001035,H3,H3
build017,BBF10K_001046,A4,A4
build017,BBF10K_001062,B4,B4
build017,BBF10K_001283,C4,C4
build017,BBF10K_001314,D4,D4
build017,BBF10K_001316,E4,E4
build017,BBF10K_001337,F4,F4
build017,BBF10K_001364,G4,G4
build017,BBF10K_001436,H4,H4
build017,BBF10K_001458,A5,A5
build017,BBF10K_001486,B5,B5
build017,BBF10K_001490,C5,C5
build017,BBF10K_001498,D5,D5
build017,BBF10K_001524,E5,E5
build017,BBF10K_001527,F5,F5
build017,BBF10K_001573,G5,G5
build017,BBF10K_001630,H5,H5
build017,BBF10K_001668,A6,A6
build017,BBF10K_001834,B6,B6
build017,BBF10K_001838,C6,C6
build017,BBF10K_001854,D6,D6
build017,BBF10K_001877,E6,E6
build017,BBF10K_001879,F6,F6
build017,BBF10K_002997,G6,G6
build017,BBF10K_001972,H6,H6
build017,BBF10K_001986,A7,A7
build017,BBF10K_001994,B7,B7
build017,BBF10K_002048,C7,C7
build017,BBF10K_002053,D7,D7
build017,BBF10K_002061,E7,E7
build017,BBF10K_002064,F7,F7
build017,BBF10K_002084,G7,G7
build017,BBF10K_002086,H7,H7
build017,BBF10K_002093,A8,A8
build017,BBF10K_002103,B8,B8
build017,BBF10K_002114,C8,C8
build017,BBF10K_002135,D8,D8
build017,BBF10K_002146,E8,E8
build017,BBF10K_002173,F8,F8
build017,BBF10K_002237,G8,G8
build017,BBF10K_002265,H8,H8
build017,BBF10K_002292,A9,A9
build017,BBF10K_002346,B9,B9
build017,BBF10K_002367,C9,C9
build017,BBF10K_002383,D9,D9
build017,BBF10K_002384,E9,E9
build017,BBF10K_002403,F9,F9
build017,BBF10K_002450,G9,G9
build017,BBF10K_002514,H9,H9
build017,BBF10K_002518,A10,A10
build017,BBF10K_002523,B10,B10
build017,BBF10K_002530,C10,C10
build017,BBF10K_002547,D10,D10
build017,BBF10K_002558,E10,E10
build017,BBF10K_002591,F10,F10
build017,BBF10K_002626,G10,G10
build017,BBF10K_002679,H10,H10
build017,BBF10K_002701,A11,A11
build017,BBF10K_002774,B11,B11
build017,BBF10K_002838,C11,C11
build017,BBF10K_002886,D11,D11
build017,BBF10K_002910,E11,E11
build017,BBF10K_002919,F11,F11
build017,BBF10K_002924,G11,G11
build017,BBF10K_002938,H11,H11
build017,BBF10K_003008,A12,A12
build017,BBF10K_003013,B12,B12
build017,BBF10K_003016,C12,C12
build017,BBF10K_003025,D12,D12
build017,BBF10K_003035,E12,E12
build017,BBF10K_003055,F12,F12
build017,BBF10K_003056,G12,G12
build017,BBF10K_003103,H12,H12
